HIP,n_HD,HD,DM,GC,HR,RAJ2000,DEJ2000,Vmag_viz,Fl,Bayer,Cst,SimbadName,RAhms,DEdms,Vmag_hip,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,distance,x,y,z
39847, ,67006,BD+51  1391 ,11018.0,3173.0,122.11458333333331,51.50666666666666,4.78,27.0, ,Lyn,HD  67006,08 08 27.50,+51 30 24.0,4.78,122.11459795,51.50667575,14.96,-60.1,-2.15,0.7,0.048, ,122.11436326,51.50667052,66.84491978609626,-22.118261725814776,35.23960219685342,-52.318220883794616
39863, ,67594,BD-02  2450 ,11051.0,3188.0,122.14858333333332,-2.983777777777777,4.36,29.0,zet,Mon,HD  67594,08 08 35.66,-02 59 01.6,4.36,122.14857362,-2.98377649,1.76,-16.79,-3.89,0.88,0.97, ,122.14853276,-2.98378594,568.1818181818181,-301.92915474660117,480.4109102657244,29.575688057214855
39874, ,67483,BD+14  1831 ,11047.0,3184.0,122.17683333333332,13.640944444444443,6.25,12.0, ,Cnc,HD  67483,08 08 42.44,+13 38 27.4,6.25,122.17684992,13.64094892,11.72,2.56,-13.08,0.86,0.48, ,122.17685632,13.64091713,85.32423208191125,-44.15637774981006,70.18205383335204,-20.122579459810968
39903, ,68456,CP-60  1074 ,11115.0,3220.0,122.25358333333332,-61.30169444444444,4.74,,B,Car,HD  68456,08 09 00.86,-61 18 06.1,4.74,122.25357658,-61.3017058,46.75,-155.04,-297.69,3.38,0.437, ,122.25279182,-61.30242935,21.390374331550802,-5.481621074776985,8.6866397307545,18.762788562058297
39906, ,67797,BD-18  2190 ,11071.0,3192.0,122.25683333333332,-19.245,4.4,16.0, ,Pup,HD  67797,08 09 01.64,-19 14 42.0,4.4,122.2568477,-19.24500094,6.9,-9.97,-5.46,0.69,-0.16, ,122.25682203,-19.24501421,144.92753623188403,-73.02756248525613,115.7110999549123,47.76931256497594
39953,X,68273,CD-46  3847 ,11105.0,3207.0,122.38316666666664,-47.336611111111104,1.75,,gam02,Vel,HD  68273,08 09 31.96,-47 20 11.8,1.75,122.38314727,-47.33661177,3.88,-5.93,9.9,0.53,-0.145, ,122.383126,-47.33658771,257.7319587628866,-93.54543823004487,147.49979253034564,189.52262333982227
40007, ,67690,BD+26  1728 ,11082.0,,122.55466666666663,25.84455555555555,6.44,13.0,psi01,Cnc,HD  67690,08 10 13.12,+25 50 40.4,6.44,122.55464962,25.84455571,3.16,-15.12,-30.84,0.8,1.42, ,122.55460879,25.84448075,316.4556962025316,-153.25408597165253,240.05498621274955,-137.9528774126113
40023,X,67767,BD+25  1865 ,11091.0,3191.0,122.61345833333333,25.508166666666664,5.73,14.0,psi,Cnc,HD  67767,08 10 27.23,+25 30 29.4,5.73,122.61344988,25.50817993,23.82,-71.82,-348.06,0.74,0.825, ,122.61325647,25.50733395,41.98152812762385,-20.421162873835506,31.915163519367525,-18.078914468042253
40035, ,68146,BD-13  2420 ,11118.0,3202.0,122.66658333333332,-13.799361111111107,5.53,18.0, ,Pup,HD  68146,08 10 39.98,-13 47 57.7,5.53,122.66656902,-13.79934746,44.47,-250.56,57.68,0.77,0.488, ,122.66594192,-13.79920726,22.4870699347875,-11.787061234560372,18.383810590949796,5.363675033112088
40084, ,68290,BD-12  2385 ,11134.0,3211.0,122.81799999999998,-12.927027777777775,4.72,19.0, ,Pup,HD  68290,08 11 16.32,-12 55 37.3,4.72,122.81800545,-12.92701835,17.64,-26.04,8.08,0.69,0.939, ,122.81794051,-12.92699871,56.68934240362812,-29.94537345042675,46.43408067265729,12.681967637374758
40091,X,68553,CD-39  4084 ,11149.0,3225.0,122.83958333333332,-39.61855555555555,4.44,,h01,Pup,HD  68553,08 11 21.50,-39 37 06.8,4.44,122.83958436,-39.61855304,1.74,-8.91,3.1,0.52,1.59, ,122.83955625,-39.61854551,574.7126436781609,-240.073982246926,371.9573029615406,366.479017987688
40155, ,68808,CD-46  3902 ,11172.0,3232.0,122.999875,-46.6443611111111,5.77,,AH,Vel,HD  68808,08 11 59.97,-46 38 39.7,5.77,122.99988027,-46.64436989,2.23,-3.65,7.61,0.55,0.626, ,122.99986735,-46.64435139,448.43049327354265,-167.67126666911278,258.1923421720687,326.0566945714034
40167,X,68256,BD+18  1867C,11142.0,3209.0,123.05291666666665,17.647777777777776,5.63,16.0,zet02,Cnc,HD  68256,08 12 12.71,+17 38 53.3,4.67,123.05295353,17.64813756,39.11,28.29,-150.94,1.38,0.531,G,123.05302569,17.64777069,25.568908207619536,-13.289318244819686,20.422437686783226,-7.751588640209983
40167,X,68257,BD+18  1867A,11141.0,3208.0,123.05291666666665,17.647777777777776,6.02,16.0,zet01,Cnc,HD  68257,08 12 12.71,+17 38 53.3,4.67,123.05295353,17.64813756,39.11,28.29,-150.94,1.38,0.531,G,123.05302569,17.64777069,25.568908207619536,-13.289318244819686,20.422437686783226,-7.751588640209983
